ID,Public Library Authorities,Country,ARCON CODE,Name of Library or Collection,"Address, including postcode",Lat,Lon,Main website,e-mail contact,Local Studies/Archive/Both 1,Notes on coverage combined
16,Brighton and Hove,England,3091,The Keep - Brighton and Hove,"The Keep, Wollards Way ,Brighton, BN1 9BP",50.857777,-0.097333,https://www.thekeep.info/brighton-hove/,thekeep@eastsussex.gov.uk,Both,Also includes Sussex University Special Collections
17,Bristol,England,,Bristol Reference Library,"Central Library, College Green, Bristol, BS1 5TL",51.451626,-2.601874,https://www.bristol.gov.uk/libraries-archives/local-history,refandinfo@bristol.gov.uk,Local Studies,
18,Bromley,England,,Bromley Central Library,"Central Library, High Street, Bromley, BR1 1EX",51.4036103,"0.0146503,",www.bromley.gov.uk/historiccollections,historic.collections@GLL.org,Both,
19,Buckinghamshire,England,,Centre for Buckinghamshire Studies,"Centre for Buckinghamshire Studies, County Hall, Walton Street, Aylesbury, HP20 1UU",51.814878,-0.81225,www.buckscc.gov.uk/services/culture-and-leisure/centre-for-buckinghamshire-studies/,archives@buckscc.gov.uk,Both,
20,Bury,England,,Bury Archives,"Bury Archives, Moss Street, Bury, BL9 0DR",53.591906,-2.299082,www.bury.gov.uk/index.aspx?articleid=10620,auto email,Both,
21,Calderdale,England,,Central Library & Archive,"Central Library and Archive, Square Road, Halifax, HX1 1QG",53.72199245,-1.855961495,www.calderdale.gov.uk/v2/residents/leisure-and-culture/local-history-and-heritage/local-studies-and-family-history-libraries,reference.library@calderdale.gov.uk,Local Studies,West Yorkshire Archives also has a base in the library
22,Cambridgeshire,England,,Cambridgeshire Collection - Cambridge Central Library,"Cambridge Central Library, 7 Lion Yard, Cambridge, CB2 3QD",52.204518,0.120497,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/local-studies/cambridgeshire-collection/,Cambridgeshire.collection@cambridgeshire.gov.uk,Local Studies,
23,Cambridgeshire,England,,Huntingdon Library and Archive,"Princes Street, Huntingdon, PE29 3PA",52.3296243,-0.184461519,http://www.cambridgeshire.gov.uk/info/20002/libraries_leisure_and_culture,Localstudies.hunts@cambridgeshire.gov.uk,Local Studies,
24,Cambridgeshire,England,,Wisbech Library,"Fenland Collection, 5 Ely Place, Wisbech, PE13 1EU",52.66434645,0.161059759,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/local-studies/fenland-collection/,Localstudies.fenland@cambridgeshire.gov.uk,Local Studies,
25,Camden,England,784,Camden Local Studies and Archive Centre,"Holborn Library, 32-38 Theobalds Road, London, WC1X 8PA",51.5210756,-0.1156142,https://www.camden.gov.uk/local-studies-archives-centre,localstudies@camden.gov.uk,Both,
26,Central Bedfordshire,England,,Bedfordshire Heritage Library,see Bedford,,,,,,
27,Cheshire East,England,17,Cheshire Archives and Local Studies,"Cheshire Record Office Duke Street, Chester, England, CH1 1RL",53.18703475,-2.88851464,http://www.cheshirearchives.org.uk/,recordoffice@cheshiresharedservices.gov.uk,Both,
28,Cheshire West and Chester,England,17,Cheshire Archives and Local Studies,see Cheshire East,,,,,,
29,City of London,England,76,Guildhall Library,"Aldermanbury, London EC2V, 7HH",51.5161758,-0.0925982,https://www.cityoflondon.gov.uk/things-to-do/guildhall-library/Pages/default.aspx,guildhall.library@cityoflondon.gov.uk,Both,Manuscripts managed by London Metropolitan Archives.
30,Cornwall,England,21,Kresen Kernow (Cornwall Centre),"Kresen Kernow, Little Vauxhall, Redruth TR15 1AS",50.2350154,-5.234333339,https://kresenkernow.org/,kresenkernow@cornwall.gov.uk,Both,
31,Coventry,England,144,Coventry History Centre,"Coventry History Centre, Jordan Well, Coventry, CV1 5QP",52.407096,-1.506102,https://www.theherbert.org/collections/history_centre.aspx,historycentre@theherbert.org,Both,
32,Croydon,England,352,Croydon Museum and Archive Service,"Croydon Clocktower, Katharine Street, Croydon, CR9 1ET",51.37204165,-0.099460694,www.croydon.gov.uk/leisure/archives/lslibrary,museum@croydon.gov.uk,Both,
33,Cumbria,England,1831,"Cumbria Archive and Local Studies Centre, Barrow","Cumbria Archive and Local Studies Centre, Ramsden Square, Barrow-in-Furness, England, LA14 1LL",54.114388,-3.231623,https://www.cumbria.gov.uk/archives/archivecentres/balsc.asp,barrow.archives@cumbria.gov.uk,Both,
34,Cumbria,England,1831,"Cumbria Archive and Local Studies Centre, Whitehaven","Scotch Street, Whitehaven, England, CA28 7NL",54.547861,-3.585257,https://www.cumbria.gov.uk/archives/archivecentres/whalsc.asp,whitehaven.archives@cumbria.gov.uk,Both,
35,Darlington,England,,Darlington Centre for Local Studies,"Darlington Library, Crown Street, Darlington, DL1 1ND",54.5262241,-1.5527811,https://www2.darlington.gov.uk/web/arena/local-and-family-history,local.studies@darlington.gov.uk,Local Studies,
36,Derby,England,288,Derby Local Studies and Family History Library,"Riverside Chambers, Full Street, Derby, DE1 3AF",52.9239745,-1.474789,https://www.inderby.org.uk/libraries/our-libraries/derby-local-studies-and-family-history-library/,localstudies.library@derby.gov.uk,Local Studies,
37,Derbyshire,England,1944,Derbyshire Local Studies Library,"Derbyshire Record Office, New Street, Matlock, DE4 3FE",53.140255,-1.551611,https://www.derbyshire.gov.uk/leisure/record-office/derbyshire-record-office.aspx,record.office@derbyshire.gov.uk,Both,
38,Devon,England,27,Devon Archives and Local Studies Service,"Devon Heritage Centre Great Moor House Bittern Road, Exeter, England, EX2 7NL",50.724666,-3.469146,https://swheritage.org.uk/devon-archives/,devonarchives@swheritage.org.uk,Both,
39,Doncaster,England,,Doncaster Local Studies Library,"Central Library, Waterdale, Doncaster, DN1 3JE",53.5205544,-1.132068716,https://library.doncaster.gov.uk/web/arena/local-studies,central.localhistory@doncaster.gov.uk,Local Studies,
40,Dorset,England,31,Dorset History Centre,"Bridport Road, Dorchester, Dorset, DT1 1RP",50.7146052,-2.44518469,https://www.dorsetcouncil.gov.uk/libraries-history-culture/dorset-history-centre/dorset-history-centre.aspx,archives@dorsetcc.gov.uk,Both,
41,Dudley,England,145,Dudley Archives and Local History Service,"Archives & Local History Centre, Tipton Road, Dudley, West Midlands, DY1 4SQ",52.5188322,-2.07481825,https://www.dudley.gov.uk/things-to-do/dudley-borough-libraries/archives-and-local-history-service/,dudley.archives@gll.org,Both,
42,Durham,England,,Durham Clayport Library,"Millennium Place, Durham, County Durham, DH1 1WA",54.7783519,"-1.5751952,",https://www.durham.gov.uk/article/2070/Discover-local-history-in-your-library,DurhamClayportLibrary@durham.gov.uk,Local Studies,
43,Ealing,England,1158,Ealing Local History Centre,"West Ealing Library, Melbourne Avenue, West Ealing, London, England, W13 9BT",51.5094007,-0.3245923,https://www.ealing.gov.uk/info/201244/local_history_centre,LocalHistoryLibrary@ealing.gov.uk,Both,
44,East Riding of Yorkshire,England,47,East Riding of Yorkshire Archives and Local Studies Service,"The Treasure House, Champney Road, Beverley, England, HU17 9BA",53.840452,-0.42899,https://www.eastriding.gov.uk/leisure/archives-family-and-local-history/,archives.service@eastriding.gov.uk,Both,
45,Hull City Council,England,322,Hull History Centre,"Hull History Centre, Worship Street, Hull, England, HU2 8BG",53.747664,-0.336646,http://www.hullhistorycentre.org.uk/,hullhistorycentre@hullcc.gov.uk,Both,
46,East Sussex,England,353,The Keep - East Sussex local and family history collections,"Woollards Way, Brighton, BN1 9BP",50.8578211,-0.097676377,http://www.thekeep.info/about_us/,thekeep@eastsussex.gov.uk,Archive,
47,Enfield,England,,Enfield Local Studies Library and Archive (Dugdale Centre),"First Floor, Dugdale, 39 London Road, Enfield, England, EN2 6DS",51.650374,-0.080262,https://www.dugdalecentre.co.uk/page/local-studies-library-and-archive/,local.history@enfield.gov.uk,Both,
48,Essex,England,185,Essex Record Office,"Wharf Road, Chelmsford, Essex, CM2 6YT",51.73019785,0.481046705,https://www.essexrecordoffice.co.uk/,ero.enquiry@essex.gov.uk,Archive,
49,Gateshead,England,,"Gateshead Central Library, Local Studies","Prince Consort Road, Gateshead, England, NE8 4LN",54.9513419,-1.6014292,http://www.gatesheadlocalstudies.com/,libraries@gateshead.gov.uk,Both,
50,Gloucestershire,England,,Gloucestershire Archives,"Gloucestershire Heritage Centre, Clarence Row, Alvin Street, Gloucester, GL1 3DW",51.86868,-2.241328,https://www.gloucestershire.gov.uk/archives,archives@gloucestershire.gov.uk,Both,
51,Gloucestershire,England,,Gloucestershire Libraries,Various,,,https://www.gloucestershire.gov.uk/archives/starting-your-research/starting-to-research-the-history-of-your-area/,Various,Local Studies,
52,Greenwich,England,,Royal Greenwich Archives,"Charlton House,Charlton Road,London,SE7 8RE",51.4808642,0.0359217,https://www.royalgreenwich.gov.uk/info/200228/local_history_and_heritage/251/local_history_and_archives,info@rght.org.uk. Must email in advance before visiting ,Both,
53,Hackney,England,,Hackney Archives and Local History,"Dalston CLR James Library, Dalston Square, Hackney, London, E8 3BQ",51.54604345,-0.07391345,https://hackney.gov.uk/archives,archives@hackney.gov.uk,Both,
54,Halton,England,,Halton Libraries,"Halton Lea Library, Halton, Runcorn, Cheshire, WA7 2PF     and   Widnes Library,Victoria Square, Widnes, Cheshire, WA8 7QT",53.328873,-2.697899,https://library.haltonbc.info/community-family-history/,haltonlea.library@halton.gov.uk     and        widnes.library@halton.gov.uk,Local Studies,
55,Hammersmith and Fulham,England,85,Hammersmith and Fulham Archives and Local History Centre,"Hammersmith and Fulham Archives and Local History Centre, 1st Floor, Hammersmith Library, Shepherds Bush Road, London, W6 7AT
",51.4945917,-0.223631787,https://www.lbhf.gov.uk/libraries/local-studies-and-archives,archives@lbhf.gov.uk,Both,
56,Hampshire,England,41,Hampshire Archives and Local Studies,"Hampshire Record Office, Sussex Street, Winchester, England, SO23 8TH",51.0664856,-1.318567728,https://www.hants.gov.uk/librariesandarchives/archives,Online form:   https://forms.hants.gov.uk/en/AchieveForms/?form_uri=sandbox-publish://AF-Process-03882281-c82a-41b9-ad9d-bce23a0ecc40/AF-Stage-7ff271a4-3049-4297-8237-312ebc8dbcc2/definition.json&redirectlink=/en&cancelRedirectLink=/en,Both,
57,Haringey,England,,Haringey Archive & Local History Collections,"Haringey Archives Service, Bruce Castle Museum, Lordship Lane, Tottenham, N17 8NU. ",51.599,-0.075462,www.haringey.gov.uk/libraries-sport-and-leisure/culture-and-entertainment/visiting-haringey/haringey-archive-and-local-history#localhistory,museum.services@haringey.gov.uk,Both,
58,Harrow,England,,Harrow Local History Centre,"Headstone Manor and Museum, Pinner View, Harrow, HA2 6PX",51.594534,-0.354433,https://headstonemanor.org/,info@headstonemanor.org,Local Studies,
59,Hartlepool,England,,Hartlepool Local Studies Collection,"Information & Reference Department, Community Hub Central, 124 York Road, Hartlepool, TS26 9DE",54.683574,-1.216599,https://www.hartlepool.gov.uk/info/20012/libraries/183/family_and_local_history_library,infodesk@hartlepool.gov.uk,Local Studies,
60,Havering,England,1159,Havering Local Studies and Family History Centre,"Central Library, St Edward's Way, Romford, RM1 3AR",51.580625,0.183814,https://llc.ent.sirsidynix.net.uk/client/en_GB/havering/?rm=COLLECTION+OVE0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue,localstudies@havering.gov.uk,Local Studies,
61,Herefordshire,England,,Herefordshire Archive and Records Centre,"Fir Tree Lane, Hereford, HR2 6LA",52.038398,-2.687343,https://www.herefordshire.gov.uk/archives,archives@herefordshire.gov.uk,Both,
62,Hertfordshire,England,46,Hertfordshire Archives and Local Studies,"Register Office Block, County Hall, Pegs Lane, Hertford, SG13 8EJ",51.791098,-0.080192,www.hertfordshire.gov.uk/libraries,hals.enquiries@hertfordshire.gov.uk,Both,
63,Hillingdon,England,354,"Hillingdon Local Studies, Archives and Museums Service","Level 6, Uxbridge Library, 14-15 High Street, Uxbridge, UB8 1HD",51.5454,-0.478085,www.hillingdon.gov.uk/history,archives@hillingdon.gov.uk,Both,
64,Hounslow,England,356,Hounslow and Feltham Local Studies Service,"Feltham Library, The Centre, High Street, Feltham, TW13 4GU",51.446437,-0.410965,www.hounslow.gov.uk/info/20136/other_library_services/1692/local_history_and_archives,localstudies@hounslow.gov.uk,Local Studies,
65,Hounslow,England,348,Chiswick and Brentford Local Studies and Archives Collection,"Chiswick Library, Duke’s Avenue, Chiswick, London, W4 2AB",51.4918692,-0.2608975,www.hounslow.gov.uk/info/20136/other_library_services/1692/local_history_and_archives,localstudies@hounslow.gov.uk,Local Studies,
66,Isle of Wight,England,,Isle of Wight Local Studies Collection,"Record Office, 26 Hillside, Newport, PO30 2EB",50.703058,-1.288882,www.iow.gov.uk/Residents/Libraries-Cultural-and-Heritage/Records-Office/Local-History/Local-Studies-Collection/,record.office@iow.gov.uk,Both,Local history collection is mainly held off site in storage - accessed via Isle of Wight Archives www.iow.gov.uk/Residents/Libraries-Cultural-and-Heritage/Records-Office/Local-History/Local-Studies-Collection/
67,Islington,England,1032,Islington Local History Centre,"Islington Local History Centre, Finsbury Library, 245 St John St, London, EC1V 4NB",51.5263135,-0.104372957,www.islington.gov.uk/libraries-arts-and-heritage/heritage/local-history-centre,local.history@islington.gov.uk,Local Studies,
68,Kensington and Chelsea,England,,Kensington and Chelsea Local Studies,"Kensington Central Library, 12 Phillimore Walk, London, W8 7RX",51.5014375,-0.19426393,https://www.rbkc.gov.uk/libraries/local-studies-and-archives,centrallocalenquiries@rbkc.gov.uk,Both,
69,Kent,England,,Kent History and Library Centre,"James Whatman Way, Maidstone, ME14 1LQ",51.28025495,0.517952197,https://www.kentarchives.org.uk/,historyandlibrarycentre@kent.gov.uk,Both.,
70,Kingston upon Hull,England,,Hull History Centre,"Hull History Centre,Worship Street,Hull, HU2 8BG",53.747664,-0.336646,http://www.hullhistorycentre.org.uk/visit-us/our-facilities/local-studies-library.aspx,hullhistorycentre@hcandl.co.uk,Both,
71,Kingston upon Thames,England,177,Kingston History Centre,"Guildhall, High Street, Kingston-upon-Thames, KT1 1EU",51.407553,-0.306068,https://www.kingston.gov.uk/info/200239/museum_and_history_centre/548/visit_kingston_history_centre,local.history@kingston.gov.uk,Both,
72,Kirklees,England,,Huddersfield Local Studies Library ,"Huddersfield Library and Art Gallery, Princess Alexandra Walk, Huddersfield, West Yorkshire, HD1 2SU",53.644289,-1.781678,https://www.kirklees.gov.uk/beta/libraries/local-studies-and-resources.aspx,huddersfield.localhistory@kirklees.gov.uk,Both,
73,Knowsley,England,1076,The ARK: Archive Resource for Knowsley,"The ARK, The Kirkby Centre, Norwich Way, Kirkby, L32 8RR",53.481952,-2.889871,http://archives.knowsley.gov.uk,infoheritage@knowsley.gov.uk,Both,
74,Lambeth,England,88,Lambeth Archives,"Minet Library, 52 Knatchbull Road, London, SE5 9QY",51.47138705,-0.105294626,https://www.lambeth.gov.uk/places/lambeth-archives,archives@lambeth.gov.uk,Both,
75,Lancashire,England,,Lancaster Central Library,"Market Square, Lancaster, Lancashire, LA1 1HY",54.04918065,-2.801569656,https://www.lancashire.gov.uk/libraries-and-archives/libraries/find-a-library/lancaster-central-library/,lancaster.library@lancashire.gov.uk,Local Studies,
76,Lancashire,England,55,Lancashire Archives,"Bow Lane, Preston, Lancashire, PR1 2RE",53.75849015,-2.711351793,https://www.lancashire.gov.uk/libraries-and-archives/archives-and-record-office/,lancaster.library@lancashire.gov.uk,Both,
77,Leeds,England,,"Local and Family History Library, Leeds Central Library","Local and Family History Library, 2nd Floor- Central Library,Calverley Street,Leeds, LS1 3AB",53.8001556,-1.5486909,https://www.leeds.gov.uk/leisure/libraries/local-and-family-history-services,localandfamilyhistory@leeds.gov.uk,Local Studies,
78,Leicester City,England,,Leicester Central Library        ,"Bishop St, Leicester, LE1 6AA",52.63302195,-1.132280642,https://www.leicester.gov.uk/your-community/libraries-and-community-centres/libraries/find-a-library/leicester-central-library/,,Local Studies,
79,Leicestershire,England,,Loughborough Library ,"Granby St, Loughborough, LE11 3DZ",52.770677,-1.20928,https://www.leicestershire.gov.uk/leisure-and-community/libraries/find-a-library/loughborough-library,loughboroughlibrary@leics.gov.uk,Local Studies,
80,"Leicestershire, Leicester City and Rutland",England,,"The Record Office for Leicestershire, Leicester and Rutland.

","Long Street, Wigston, Leicestershire, LE18 2AH",52.5854202,-1.1066526,http://www.recordoffice.org.uk/resources/local-studies-library/,recordoffice@leics.gov.uk,Both,
81,Lewisham,England,,Lewisham  Local History and Archives Centre,"LOCAL HISTORY AND ARCHIVES CENTRE, LEWISHAM LIBRARY, 199 201 LEWISHAM HIGH STREET, HITHER GREEN, LONDON, SE13 6LG",51.45925365,-0.011667726,https://lewisham.gov.uk/inmyarea/history/archives        ,local.studies@lewisham.gov.uk,Both,
82,Lincolnshire,England,,Lincoln Central Library,"Lincoln Central Library, Free School Ln, Lincoln, Lincolnshire, LN2 1EZ",53.22951875,-0.537123575,https://www.better.org.uk/library/lincolnshire/lincolncentrallibrary,,Local Studies,
83,Liverpool,England,,"Archives and Family History, Liverpool Central Library","3rd Floor Central Library, William Brown Street, Liverpool, L3 8EW
",53.409906,-2.9806463,https://liverpool.gov.uk/libraries/archives-family-history/,,Both,
84,Luton,England,,Luton Central Library,"Luton Central Library, St. George's Square, LUTON, LU1 2NG",51.881043,-0.417274,https://www.lutonculture.com/luton-libraries/learning-in-libraries/local-and-family-history/,libraryinfo@lutonculture.com,Local Studies,
85,Manchester,England,127,Manchester Archives and Local Studies,"Manchester Central Library, St Peter's Square, Manchester, M2 5PD",53.4781312,-2.244709591,https://secure.manchester.gov.uk/info/448/archives_and_local_history,,Both,
86,Medway,England,1204,Medway Archives Centre,"32 Bryant Road, Strood, Kent, ME2 3EP",51.397545,0.491192,https://www.medway.gov.uk/info/200182/arts_and_heritage/317/medway_archives_centre,malsc@medway.gov.uk.,Both,
87,Merton,England,1841,Merton Heritage and Local Studies Centre,"Merton Heritage and Local Studies Centre,
2nd floor, Morden Library,
Merton Civic Centre,
London Road,
Morden, London, SM4 5DX",51.401466,-0.195737,https://libraries.merton.gov.uk/client/en_GB/merton/?rm=HERITAGE+AND+L0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue,local.studies@merton.gov.uk,Both,
88,Middlesbrough,England,,Not clear,,,,,,,
89,Milton Keynes,England,,"Local Studies Department, Milton Keynes Central Library ","Central Library, 555 Silbury Boulevard,Central Milton Keynes,MK9 3HL",52.043584,-0.759062,https://www.milton-keynes.gov.uk/libraries/reference-business-research/local-studies-and-archives,library.enquiries@milton-keynes.gov.uk,Local Studies,
90,Newcastle upon Tyne,England,1185,Newcastle City Library,"Local Studies and Family History, Charles Avison Building, 33 New Bridge St West, Newcastle Upon Tyne, NE1 8AX",54.97464,-1.610313,https://newcastlecollection.newcastle.gov.uk,information@newcastle.gov.uk,Local Studies,
91,Newham,England,1637,Newham Archaeology and Local History Centre,"Newham Archives and Local Studies Library,
First floor, Stratford Library,
3 The Grove,
Stratford, London,
E15 1EL",51.542748,0.003977,https://www.newham.gov.uk/Pages/Services/Local-history-and-archives.aspx,archiveslocalstudies@newham.gov.uk,Both,
92,Norfolk,England,,Norfolk Heritage Centre,"Norfolk and Norwich Millennium Library, The Forum, Millennium Plain, Norwich, NR2 1AW",52.627736,1.291876,https://www.norfolk.gov.uk/libraries-local-history-and-archives/researching-family-and-local-history/norfolk-heritage-centre,heritagecentre@norfolk.gov.uk,Local Studies,
93,North East Lincolnshire,England,,North East Lincolnshire Local History Library,"Grimsby Library, Town Hall Square, Grimsby, N.E Lincs, DN31 1HG",53.5651224,-0.0825542,https://www.lincsinspirelibraries.com/web/arena/local-heritage,libraries@lincsinspire.com,Local Studies,
94,North Lincolnshire,England,,North Lincolnshire Local Studies Library,"Scunthorpe Central, Carlton Street,Scunthorpe,North Lincolnshire,DN15 6TX",53.59221,-0.643306,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/enquiry-and-research-service/,ref.library@northlincs.gov.uk,Local Studies,
95,North Somerset,England,,North Somerset Studies Library,"Town Hall, Walliscote Grove Road, Weston-super-Mare, BS23 1UJ",51.34583435,-2.976902909,https://www.n-somerset.gov.uk/my-services/leisure/local-history-archives/local-history/,local.history@n-somerset.gov.uk,Local Studies,
96,North Tyneside,England,,North Tyneside Local Studies and Information,"Discover North Tyneside, North Shields Customer First Centre,Northumberland Square,North Shields,NE30 1QU",55.0103621,-1.445687075,https://my.northtyneside.gov.uk/category/1017/local-studies-and-information,discover@northtyneside.gov.uk,Local Studies,
97,Northumberland,England,,Northumberland Archives,"QEII Country Park,Ashington,Northumberland,NE63 9YF",55.18993905,-1.547364277,https://www.northumberlandarchives.com,archives@northumberland.gov.uk,Both,
98,North Yorkshire,England,,,,,,https://www.northyorks.gov.uk/libraries-local-collections,,,
99,Northamptonshire,England,,​Northamptonshire Studies,"Northamptonshire Central Library,Abington Street,Northampton,NN1 2BA",52.23854965,-0.891507043,,Form!,,
100,Nottingham,England,,"Local Studies Library, Nottingham Central Library","Nottingham Central Library, Angel Row, Nottingham, NG1 6HP",52.95362925,-1.153321479,www.nottinghamcity.gov.uk/leisure-and-culture/libraries/local-studies-and-family-history,local_studies.library@nottinghamcity.gov.uk,Local Studies,
101,Nottinghamshire,England,,Nottinghamshire Archives,"County House, Castle Meadow Road, Nottingham, NG12 1AG",52.94747225,-1.151023035,www.inspireculture.org.uk/heritage/archives/,archives@inspireculture.org.uk,Archive,Local Studies material held within branch libraries. 
102,Oldham,England,758,Oldham Local Studies & Archives,"84 Union Street, Oldham, England, OL1 1DN",53.54058555,-2.109961622,www.oldham.gov.uk/info/200276/local_history/1855/contact_local_studies_and_archives,archives@oldham.gov.uk,Both,
103,Oxfordshire,England,160,Oxfordshire History Centre,"St Luke's Church, Temple Road, Cowley, Oxford, England, OX4 2HT",51.73461755,-1.212039881,www.oxfordshire.gov.uk/residents/leisure-and-culture/history/oxfordshire-history-centre?utm_term=nil&utm_content=,oxhist@oxfordshire.gov.uk,Both,
104,Peterborough,England,,Peterborough Central Library & Archives,"Broadway, Peterborough, PE1 1RX",52.57650835,-0.241440274,https://vivacity.org/library-archives/archives/peterborough-archive-services/,archives.services@vivacity-peterborough.com,Both,
105,Plymouth,England,,Plymouth Local Studies Collection,"Central Library, 167-171 Armarda Way, Plymouth, PL1 1HZ",50.373244,-4.142822,www.plymouth.gov.uk/libraries/localandfamilyhistory/localhistory,library@plymouth.gov.uk,Local Studies,Local Studies combining with archives in 2020
106,Poole,England,,Poole History Centre,"4 High Street, Poole, Dorset, BH15 1BW",50.712346,-1.989237,www.poolemuseum.org.uk/plan-your-visit/poole-history-centre/,localhistory@poole.gov.uk,Local Studies,
107,Portsmouth,England,42,Portsmouth History Centre,"Portsmouth Central Library, Guildhall Square, Portsmouth, PO1 2DX",50.7972525,-1.092080265,www.portsmouth.gov.uk/ext/libraries/portsmouth-history-centre-and-records-office,portsmouthhistorycentre@portsmouthcc.gov.uk,Both,
108,Reading,England,,Local Studies Collection,"Central Library, Abbey Square, Reading, RG1 3BQ",51.45502715,-0.967763724,www.reading.gov.uk/centrallibrary,info@readinglibraries.org.uk,Local Studies,
109,Redbridge,England,90,Redbridge Local Studies and Archives,"Local History Room [2nd Floor],  Redbridge Central Library, Clements Road, Ilford, IG1 1EA",51.5580614,0.0753621,www.redbridge.gov.uk/libraries/archives-and-history/,info.heritage@visionrcl.org.uk,Both,
110,Redcar and Cleveland,England,,Not clear,,,,,,,
111,Richmond upon Thames,England,358,Richmond upon Thames Local Studies Library and Archive,"Old Town Hall Whittaker Avenue, Richmond, England, TW9 1TP",51.4589026,-0.306460565,https://www.richmond.gov.uk/local_studies_collection,localstudies@richmond.gov.uk,Both,
112,Rochdale,England,128,Rochdale Local Studies and Archive,"Touchstones Rochdale The Esplanade, Rochdale,  OL16 1AQ",53.61511135,-2.162119736,Link4Life (Rochdale Boroughwide Cultural Trust) - Local Studies Centre,touchstones@link4life.org,Both,
113,Rochdale,England,1168,"Heywood Library, Local Studies Collection","Heywood Library, Church Street, Heywood, OL10 1LL",53.5925162,-2.218209998,Heywood Library (rochdale.gov.uk),library.service@rochdale.gov.uk,Local Studies,
114,Rotherham,England,198,Rotherham Archives and Local Studies,"Clifton Park Museum, Clifton Lane, Rotherham,S65 2AA",53.4294997,-1.346804362,Archives and local history – Rotherham Metropolitan Borough Council,Email us,Both,
115,Rutland,England,,As Leicester,,,,,,,
